BurnBlock,Area,Starts,Prob
1867,6056,11,0.006748466
1868,1014,0,0
1869,2257,0,0
1870,781,1,0.000613497
1871,706,0,0
1872,791,1,0.000613497
1873,675,2,0.001226994
1874,994,3,0.001840491
1875,2715,2,0.001226994
1876,613,0,0
1877,4164,1,0.000613497
1878,7705,0,0
1879,1523,0,0
1880,762,0,0
1881,588,1,0.000613497
1882,3290,6,0.003680982
1884,4757,3,0.001840491
1885,1062,0,0
1886,2747,2,0.001226994
1887,1067,1,0.000613497
1888,618,1,0.000613497
1889,1417,0,0
1890,1311,0,0
1891,1546,0,0
1892,786,0,0
1893,1842,4,0.002453988
1894,712,0,0
1895,524,1,0.000613497
1896,869,0,0
1897,919,0,0
1898,448,0,0
1899,636,0,0
1900,1492,2,0.001226994
1901,345,0,0
1902,1355,0,0
1903,3635,0,0
1904,1678,0,0
1905,4509,1,0.000613497
1906,1509,0,0
1907,996,0,0
1908,2024,0,0
1909,2347,1,0.000613497
1910,544,0,0
1911,1716,4,0.002453988
1912,1982,1,0.000613497
1913,2621,1,0.000613497
1914,2261,0,0
1915,4066,0,0
1916,2689,1,0.000613497
1917,1578,1,0.000613497
1918,1118,1,0.000613497
1919,1215,1,0.000613497
1920,655,1,0.000613497
1921,1927,0,0
1922,578,0,0
1923,1207,0,0
1924,3188,1,0.000613497
1925,1034,2,0.001226994
1926,635,0,0
1927,938,0,0
1928,685,0,0
1929,1321,4,0.002453988
1930,10304,3,0.001840491
1931,458,2,0.001226994
1932,6384,5,0.003067485
1933,1443,1,0.000613497
1934,878,0,0
1935,725,0,0
1936,1815,0,0
1937,523,1,0.000613497
1938,1540,0,0
1939,2829,0,0
1940,2781,0,0
1941,1939,1,0.000613497
1942,919,0,0
1943,603,1,0.000613497
1944,1783,2,0.001226994
1945,2808,0,0
1946,1692,0,0
1947,1328,0,0
1948,949,0,0
1949,487,1,0.000613497
1950,3684,1,0.000613497
1951,319,0,0
1952,1717,0,0
1953,394,0,0
1954,1975,0,0
1955,594,1,0.000613497
1956,6553,1,0.000613497
1957,3095,2,0.001226994
1958,740,0,0
1959,615,0,0
1960,2616,0,0
8888,2612191,19,0.011656442
9999,342940,167,0.102453988
